Word,Count,Salience,Group,Word on Sentiment List #1: List1,Word on Sentiment List #2: List2,Word on Sentiment List #3: List3
much,39,0.003,,FALSE,FALSE,FALSE
union,39,0.003,,FALSE,FALSE,FALSE
minister,39,0.003,,FALSE,FALSE,FALSE
species,37,0.003,,FALSE,FALSE,FALSE
human,37,0.003,,FALSE,FALSE,FALSE
need,36,0.003,,FALSE,FALSE,FALSE
range,36,0.003,,FALSE,FALSE,FALSE
tree,36,0.003,,FALSE,FALSE,FALSE
crops,35,0.003,,FALSE,FALSE,FALSE
systems,35,0.003,,FALSE,FALSE,FALSE
2,34,0.003,,FALSE,FALSE,FALSE
protected,34,0.003,,FALSE,FALSE,FALSE
healthy,34,0.003,,TRUE,FALSE,FALSE
environmental,34,0.003,,FALSE,FALSE,FALSE
policy,34,0.003,,FALSE,FALSE,FALSE
value,33,0.003,,FALSE,FALSE,FALSE
well,33,0.002,,TRUE,FALSE,FALSE
birds,33,0.003,,FALSE,FALSE,FALSE
loss,32,0.003,,FALSE,TRUE,FALSE
habitats,32,0.002,,FALSE,FALSE,FALSE
#ecology,32,0.002,,FALSE,FALSE,FALSE
#tigerconservation,32,0.002,,FALSE,FALSE,FALSE
cover,31,0.002,,FALSE,FALSE,FALSE
restoration,31,0.002,,FALSE,FALSE,FALSE
development,30,0.002,,FALSE,FALSE,FALSE
resources,30,0.002,,FALSE,FALSE,FALSE
being,30,0.002,,FALSE,FALSE,FALSE
one,29,0.002,,FALSE,FALSE,FALSE
landscapes,29,0.002,,FALSE,FALSE,FALSE
seas,29,0.003,,FALSE,FALSE,FALSE
africa,29,0.002,,FALSE,FALSE,FALSE
animal,29,0.002,,FALSE,FALSE,FALSE
planting,29,0.002,,FALSE,FALSE,FALSE
4,28,0.002,,FALSE,FALSE,FALSE
bird,28,0.002,,FALSE,FALSE,FALSE
agriculture,28,0.002,,FALSE,FALSE,FALSE
first,27,0.002,,FALSE,FALSE,FALSE
communities,27,0.002,,FALSE,FALSE,FALSE
found,27,0.002,,FALSE,FALSE,FALSE
security,27,0.002,,FALSE,FALSE,FALSE
provision,27,0.002,,FALSE,FALSE,FALSE
increase,27,0.002,,FALSE,FALSE,FALSE
needed,26,0.002,,FALSE,FALSE,FALSE
planted,26,0.002,,FALSE,FALSE,FALSE
economic,25,0.002,,FALSE,FALSE,FALSE
through,25,0.002,,FALSE,FALSE,FALSE
community,25,0.002,,FALSE,FALSE,FALSE
know,25,0.002,,FALSE,FALSE,FALSE
open,25,0.002,,FALSE,FALSE,FALSE
study,25,0.002,,FALSE,FALSE,FALSE
marine,25,0.002,,FALSE,FALSE,FALSE
breeder's,25,0.002,,FALSE,FALSE,FALSE
comfort,25,0.002,,TRUE,FALSE,FALSE
reintroduction,25,0.002,,FALSE,FALSE,FALSE
absorption,25,0.002,,FALSE,FALSE,FALSE
#savetheplanet,25,0.002,,FALSE,FALSE,FALSE
#impactxptoken,25,0.002,,FALSE,FALSE,FALSE
approach,24,0.002,,FALSE,FALSE,FALSE
impact,24,0.002,,FALSE,FALSE,FALSE
up,24,0.002,,FALSE,FALSE,FALSE
economy,24,0.002,,FALSE,FALSE,FALSE
global,23,0.002,,FALSE,FALSE,FALSE
january,23,0.002,,FALSE,FALSE,FALSE
benefits,23,0.002,,TRUE,FALSE,FALSE
broader,23,0.002,,FALSE,FALSE,FALSE
science,23,0.002,,FALSE,FALSE,FALSE
protect,23,0.002,,TRUE,FALSE,FALSE
explore,23,0.002,,FALSE,FALSE,FALSE
supply,23,0.002,,FALSE,FALSE,FALSE
complexity,23,0.002,,FALSE,FALSE,FALSE
agricultural,22,0.002,,FALSE,FALSE,FALSE
production,22,0.002,,FALSE,FALSE,FALSE
de,22,0.002,,FALSE,FALSE,FALSE
plant,22,0.002,,FALSE,FALSE,FALSE
livelihoods,22,0.002,,FALSE,FALSE,FALSE
around,21,0.002,,FALSE,FALSE,FALSE
assessment,21,0.002,,FALSE,FALSE,FALSE
payments,21,0.002,,FALSE,FALSE,FALSE
social,21,0.002,,FALSE,FALSE,FALSE
take,21,0.002,,FALSE,FALSE,FALSE
conserving,21,0.002,,FALSE,FALSE,FALSE
biomass,21,0.002,,FALSE,FALSE,FALSE
look,21,0.002,,FALSE,FALSE,FALSE
delivery,21,0.002,,FALSE,FALSE,FALSE
wetlands,20,0.002,,FALSE,FALSE,FALSE
live,20,0.002,,FALSE,FALSE,FALSE
world,20,0.002,,FALSE,FALSE,FALSE
find,20,0.002,,FALSE,FALSE,FALSE
region,20,0.002,,FALSE,FALSE,FALSE
cultural,20,0.002,,FALSE,FALSE,FALSE
mountain,20,0.002,,FALSE,FALSE,FALSE
potential,20,0.002,,FALSE,FALSE,FALSE
3,19,0.002,,FALSE,FALSE,FALSE
freshwater,19,0.002,,FALSE,FALSE,FALSE
green,19,0.002,,FALSE,FALSE,FALSE
way,19,0.002,,FALSE,FALSE,FALSE
plans,19,0.002,,FALSE,FALSE,FALSE
full,19,0.002,,FALSE,FALSE,FALSE
globally,19,0.002,,FALSE,FALSE,FALSE
next,19,0.002,,FALSE,FALSE,FALSE
discover,19,0.002,,FALSE,FALSE,FALSE
growing,19,0.002,,FALSE,FALSE,FALSE
#conservation,18,0.002,,FALSE,FALSE,FALSE
field,18,0.002,,FALSE,FALSE,FALSE
cities,18,0.002,,FALSE,FALSE,FALSE
es,18,0.002,,FALSE,FALSE,FALSE
protection,18,0.002,,TRUE,FALSE,FALSE
national,18,0.002,,FALSE,FALSE,FALSE
decision,18,0.002,,FALSE,FALSE,FALSE
great,18,0.002,,TRUE,FALSE,FALSE
delivering,18,0.002,,FALSE,FALSE,FALSE
tools,18,0.002,,FALSE,FALSE,FALSE
position,18,0.002,,FALSE,FALSE,FALSE
sequestration,18,0.002,,FALSE,FALSE,FALSE
produce,18,0.002,,FALSE,FALSE,FALSE
#dyk,18,0.002,,FALSE,FALSE,FALSE
r,18,0.002,,FALSE,FALSE,FALSE
avian,18,0.002,,FALSE,FALSE,FALSE
jun,18,0.002,,FALSE,FALSE,FALSE
14,18,0.002,,FALSE,FALSE,FALSE
farms,17,0.002,,FALSE,FALSE,FALSE
animals,17,0.002,,FALSE,FALSE,FALSE
interested,17,0.002,,FALSE,FALSE,FALSE
practices,17,0.002,,FALSE,FALSE,FALSE
still,17,0.002,,FALSE,FALSE,FALSE
ipbes,17,0.002,,FALSE,FALSE,FALSE
very,17,0.002,,FALSE,FALSE,FALSE
start,17,0.002,,FALSE,FALSE,FALSE
seagrass,17,0.002,,FALSE,FALSE,FALSE
farmers,17,0.002,,FALSE,FALSE,FALSE
once,17,0.002,,FALSE,FALSE,FALSE
farmlands,17,0.002,,FALSE,FALSE,FALSE
ecosystems,16,0.001,,FALSE,FALSE,FALSE
6,16,0.001,,FALSE,FALSE,FALSE
12,16,0.001,,FALSE,FALSE,FALSE
remote,16,0.001,,FALSE,FALSE,FALSE
sensing,16,0.001,,FALSE,FALSE,FALSE
made,16,0.001,,FALSE,FALSE,FALSE
negative,16,0.001,,FALSE,TRUE,FALSE
support,16,0.001,,TRUE,FALSE,FALSE
#forest,16,0.001,,FALSE,FALSE,FALSE
understanding,16,0.001,,FALSE,FALSE,FALSE
sense,16,0.001,,FALSE,FALSE,FALSE
expected,16,0.001,,FALSE,FALSE,FALSE
wellbeing,16,0.001,,TRUE,FALSE,FALSE
grasslands,16,0.001,,FALSE,FALSE,FALSE
resilience,16,0.002,,FALSE,FALSE,FALSE
course,16,0.002,,FALSE,FALSE,FALSE
squirrel,16,0.002,,FALSE,FALSE,FALSE
appreciation,16,0.002,,FALSE,FALSE,FALSE
biota,16,0.001,,FALSE,FALSE,FALSE
without,15,0.001,,FALSE,FALSE,FALSE
even,15,0.001,,FALSE,FALSE,FALSE
key,15,0.001,,FALSE,FALSE,FALSE
cmcc,15,0.002,,FALSE,FALSE,FALSE
foundation,15,0.001,,FALSE,FALSE,FALSE
published,15,0.001,,FALSE,FALSE,FALSE
society,15,0.001,,FALSE,FALSE,FALSE
data,15,0.001,,FALSE,FALSE,FALSE
today,15,0.001,,FALSE,FALSE,FALSE
using,15,0.001,,FALSE,FALSE,FALSE
within,15,0.001,,FALSE,FALSE,FALSE
emissions,15,0.001,,FALSE,FALSE,FALSE
infrastructure,15,0.001,,FALSE,FALSE,FALSE
#openaccess,15,0.001,,FALSE,FALSE,FALSE
dung,15,0.001,,FALSE,FALSE,FALSE
beetles,15,0.001,,FALSE,FALSE,FALSE
levels,15,0.001,,FALSE,FALSE,FALSE
2017,15,0.001,,FALSE,FALSE,FALSE
base,15,0.001,,FALSE,FALSE,FALSE
complex,15,0.001,,FALSE,TRUE,FALSE
rivers,15,0.001,,FALSE,FALSE,FALSE
small,14,0.001,,FALSE,FALSE,FALSE
scale,14,0.001,,FALSE,FALSE,FALSE
providing,14,0.001,,FALSE,FALSE,FALSE
valuation,14,0.001,,FALSE,FALSE,FALSE
survey,14,0.001,,FALSE,FALSE,FALSE
solutions,14,0.001,,FALSE,FALSE,FALSE
trade,14,0.001,,FALSE,FALSE,FALSE
offs,14,0.001,,FALSE,FALSE,FALSE
until,14,0.001,,FALSE,FALSE,FALSE
essential,14,0.001,,FALSE,FALSE,FALSE
changes,14,0.001,,FALSE,FALSE,FALSE
stable,14,0.001,,TRUE,FALSE,FALSE
collaborative,14,0.001,,FALSE,FALSE,FALSE
platform,14,0.001,,FALSE,FALSE,FALSE
network,14,0.001,,FALSE,FALSE,FALSE
special,14,0.001,,FALSE,FALSE,FALSE
scientists,14,0.001,,FALSE,FALSE,FALSE
analysis,14,0.001,,FALSE,FALSE,FALSE
submit,14,0.001,,FALSE,FALSE,FALSE
large,14,0.001,,FALSE,FALSE,FALSE
#food,14,0.001,,FALSE,FALSE,FALSE
goals,14,0.001,,FALSE,FALSE,FALSE
#sustainable,14,0.001,,FALSE,FALSE,FALSE
nutrition,14,0.001,,FALSE,FALSE,FALSE
interesting,14,0.001,,TRUE,FALSE,FALSE
contrasting,14,0.001,,FALSE,FALSE,FALSE
intensities,14,0.001,,FALSE,FALSE,FALSE
brazil,14,0.001,,FALSE,FALSE,FALSE
pollinaton,14,0.001,,FALSE,FALSE,FALSE
diversification,14,0.001,,FALSE,FALSE,FALSE
#naturalcapital,13,0.001,,FALSE,FALSE,FALSE
university,13,0.001,,FALSE,FALSE,FALSE
shows,13,0.001,,FALSE,FALSE,FALSE
impacts,13,0.001,,FALSE,FALSE,FALSE
see,13,0.001,,FALSE,FALSE,FALSE
contribute,13,0.001,,FALSE,FALSE,FALSE
safeguarding,13,0.001,,FALSE,FALSE,FALSE
free,13,0.001,,TRUE,FALSE,FALSE
making,13,0.001,,FALSE,FALSE,FALSE
knowledge,13,0.001,,FALSE,FALSE,FALSE
#webinar,13,0.001,,FALSE,FALSE,FALSE
#superg,13,0.001,,FALSE,FALSE,FALSE
solution,13,0.001,,FALSE,FALSE,FALSE
information,13,0.001,,FALSE,FALSE,FALSE
#apac2022,13,0.001,,FALSE,FALSE,FALSE
non,13,0.001,,FALSE,FALSE,FALSE
grow,13,0.001,,FALSE,FALSE,FALSE
reducing,13,0.001,,FALSE,FALSE,FALSE
planning,12,0.001,,FALSE,FALSE,FALSE
#forests,12,0.001,,FALSE,FALSE,FALSE
design,12,0.001,,FALSE,FALSE,FALSE
cet,12,0.001,,FALSE,FALSE,FALSE
benefit,12,0.001,,TRUE,FALSE,FALSE
case,12,0.001,,FALSE,FALSE,FALSE
latest,12,0.001,,FALSE,FALSE,FALSE
deadline,12,0.001,,FALSE,FALSE,FALSE
focus,12,0.001,,FALSE,FALSE,FALSE
models,12,0.001,,FALSE,FALSE,FALSE
good,12,0.001,,TRUE,FALSE,FALSE
two,12,0.001,,FALSE,FALSE,FALSE
30,12,0.001,,FALSE,FALSE,FALSE
used,12,0.001,,FALSE,FALSE,FALSE
intergovernmental,12,0.001,,FALSE,FALSE,FALSE
increased,12,0.001,,FALSE,FALSE,FALSE
calling,12,0.001,,FALSE,FALSE,FALSE
high,12,0.001,,FALSE,FALSE,FALSE
#marine,12,0.001,,FALSE,FALSE,FALSE
#gis,12,0.001,,FALSE,FALSE,FALSE
hot,12,0.001,,TRUE,FALSE,FALSE
promoting,12,0.001,,FALSE,FALSE,FALSE
strengthen,12,0.001,,FALSE,FALSE,FALSE
cycling,12,0.001,,FALSE,FALSE,FALSE
stabilize,12,0.001,,TRUE,FALSE,FALSE
fund,12,0.001,,FALSE,FALSE,FALSE
worldwide,12,0.001,,FALSE,FALSE,FALSE
improving,12,0.001,,TRUE,FALSE,FALSE
place,12,0.001,,FALSE,FALSE,FALSE
leaf,12,0.001,,FALSE,FALSE,FALSE
tropics,12,0.001,,FALSE,FALSE,FALSE
colder,12,0.001,,FALSE,FALSE,FALSE
temperate,12,0.001,,FALSE,FALSE,FALSE
continents,12,0.001,,FALSE,FALSE,FALSE
antarctica,12,0.001,,FALSE,FALSE,FALSE
overlooked,12,0.001,,FALSE,FALSE,FALSE
thrilled,12,0.001,,TRUE,FALSE,FALSE
real,11,0.001,,FALSE,FALSE,FALSE
division,11,0.001,,FALSE,FALSE,FALSE
positive,11,0.001,,TRUE,FALSE,FALSE
ecology,11,0.001,,FALSE,FALSE,FALSE
plants,11,0.001,,FALSE,FALSE,FALSE
city,11,0.001,,FALSE,FALSE,FALSE
idea,11,0.001,,FALSE,FALSE,FALSE
02,11,0.001,,FALSE,FALSE,FALSE
challenges,11,0.001,,FALSE,FALSE,FALSE
issues,11,0.001,,FALSE,TRUE,FALSE
conserved,11,0.001,,FALSE,FALSE,FALSE
session,11,0.001,,FALSE,FALSE,FALSE
publication,11,0.001,,FALSE,FALSE,FALSE
parks,11,0.001,,FALSE,FALSE,FALSE
together,11,0.001,,FALSE,FALSE,FALSE
mitigation,11,0.001,,FALSE,FALSE,FALSE
pollination,11,0.001,,FALSE,FALSE,FALSE
investments,11,0.001,,FALSE,FALSE,FALSE
diverse,11,0.001,,FALSE,FALSE,FALSE
perennial,11,0.001,,FALSE,FALSE,FALSE
enhancing,11,0.001,,FALSE,FALSE,FALSE
sustain,11,0.001,,FALSE,FALSE,FALSE
planet,11,0.001,,FALSE,FALSE,FALSE
capital,11,0.001,,FALSE,FALSE,FALSE
love,11,0.001,,TRUE,FALSE,FALSE
piece,11,0.001,,FALSE,FALSE,FALSE
rate,11,0.001,,FALSE,FALSE,FALSE
year,11,0.001,,FALSE,FALSE,FALSE
organic,11,0.001,,FALSE,FALSE,FALSE
others,11,0.001,,FALSE,FALSE,FALSE
strategy,11,0.001,,FALSE,FALSE,FALSE
maximize,11,0.001,,FALSE,FALSE,FALSE
helpful,11,0.001,,TRUE,FALSE,FALSE
diversify,11,0.001,,FALSE,FALSE,FALSE
semi,11,0.001,,FALSE,FALSE,FALSE
hedgerows,11,0.001,,FALSE,FALSE,FALSE
fences,11,0.001,,FALSE,FALSE,FALSE
leave,11,0.001,,FALSE,FALSE,FALSE
#farms,11,0.001,,FALSE,FALSE,FALSE
#ecologyseminar,11,0.001,,FALSE,FALSE,FALSE
#eescplenary,11,0.001,,FALSE,FALSE,FALSE
debates,11,0.001,,FALSE,FALSE,FALSE
nurturing,11,0.001,,TRUE,FALSE,FALSE
diets,11,0.001,,FALSE,FALSE,FALSE
vietnam,11,0.001,,FALSE,FALSE,FALSE
central,11,0.001,,FALSE,FALSE,FALSE
alteration,11,0.001,,FALSE,FALSE,FALSE
announce,11,0.001,,FALSE,FALSE,FALSE
justice,11,0.001,,FALSE,FALSE,FALSE
ag,11,0.001,,FALSE,FALSE,FALSE
issue,10,0.001,,FALSE,TRUE,FALSE
south,10,0.001,,FALSE,FALSE,FALSE
payment,10,0.001,,FALSE,FALSE,FALSE
action,10,0.001,,FALSE,FALSE,FALSE
increasing,10,0.001,,FALSE,FALSE,FALSE
living,10,0.001,,FALSE,FALSE,FALSE
annually,10,0.001,,FALSE,FALSE,FALSE
apply,10,0.001,,FALSE,FALSE,FALSE
bees,10,0.001,,FALSE,FALSE,FALSE
related,10,0.001,,FALSE,FALSE,FALSE
different,10,0.001,,FALSE,FALSE,FALSE
close,10,0.001,,FALSE,FALSE,FALSE
due,10,0.001,,FALSE,FALSE,FALSE
fish,10,0.001,,FALSE,FALSE,FALSE
authors,10,0.001,,FALSE,FALSE,FALSE
traditional,10,0.001,,FALSE,FALSE,FALSE
lots,10,0.001,,FALSE,FALSE,FALSE
agroforestry,10,0.001,,FALSE,FALSE,FALSE
scientist,10,0.001,,FALSE,FALSE,FALSE
distribution,10,0.001,,FALSE,FALSE,FALSE
available,10,0.001,,TRUE,FALSE,FALSE
number,10,0.001,,FALSE,FALSE,FALSE
included,10,0.001,,FALSE,FALSE,FALSE
flow,10,0.001,,FALSE,FALSE,FALSE
quality,10,0.001,,FALSE,FALSE,FALSE
play,10,0.001,,FALSE,FALSE,FALSE
grain,10,0.001,,FALSE,FALSE,FALSE
producing,10,0.001,,FALSE,FALSE,FALSE
abundant,10,0.001,,TRUE,FALSE,FALSE
demands,10,0.001,,FALSE,FALSE,FALSE
aims,10,0.001,,FALSE,FALSE,FALSE
public,10,0.001,,FALSE,FALSE,FALSE
productive,10,0.001,,TRUE,FALSE,FALSE
motivated,10,0.001,,TRUE,FALSE,FALSE
#naturalcapitalaccounting,10,0.001,,FALSE,FALSE,FALSE
#farmzeroc,10,0.001,,FALSE,FALSE,FALSE
c,10,0.001,,FALSE,FALSE,FALSE
d,10,0.001,,FALSE,FALSE,FALSE
implemention,10,0.001,,FALSE,FALSE,FALSE
lead,10,0.001,,TRUE,FALSE,FALSE
reduced,10,0.001,,FALSE,FALSE,FALSE
poor,10,0.001,,FALSE,TRUE,FALSE
preservation,10,0.001,,FALSE,FALSE,FALSE
worry,10,0.001,,FALSE,TRUE,FALSE
ecologyandsociety1,10,0.001,,FALSE,FALSE,FALSE
succession,10,0.001,,FALSE,FALSE,FALSE
envi,10,0.001,,FALSE,FALSE,FALSE
msc,10,0.001,,FALSE,FALSE,FALSE
funding,10,0.001,,FALSE,FALSE,FALSE
#naturebasedsolutions,9,0.001,,FALSE,FALSE,FALSE
yes,9,0.001,,FALSE,FALSE,FALSE
register,9,0.001,,FALSE,FALSE,FALSE
#fornature,9,0.001,,FALSE,FALSE,FALSE
blue,9,0.001,,FALSE,FALSE,FALSE
park,9,0.001,,FALSE,FALSE,FALSE
flood,9,0.001,,FALSE,FALSE,FALSE
service,9,0.001,,FALSE,FALSE,FALSE
renewable,9,0.001,,FALSE,FALSE,FALSE
2021,9,0.001,,FALSE,FALSE,FALSE
pes,9,0.001,,FALSE,FALSE,FALSE
ocean,9,0.001,,FALSE,FALSE,FALSE
process,9,0.001,,FALSE,FALSE,FALSE
offer,9,0.001,,FALSE,FALSE,FALSE
insects,9,0.001,,FALSE,FALSE,FALSE
impacted,9,0.001,,FALSE,FALSE,FALSE
therefore,9,0.001,,FALSE,FALSE,FALSE
looks,9,0.001,,FALSE,FALSE,FALSE
march,9,0.001,,FALSE,FALSE,FALSE
associated,9,0.001,,FALSE,FALSE,FALSE
germany,9,0.001,,FALSE,FALSE,FALSE
#ecosystems,9,0.001,,FALSE,FALSE,FALSE
allow,9,0.001,,FALSE,FALSE,FALSE
achieve,9,0.001,,FALSE,FALSE,FALSE
grenada,9,0.001,,FALSE,FALSE,FALSE
info,9,0.001,,FALSE,FALSE,FALSE
strategies,9,0.001,,FALSE,FALSE,FALSE
via,9,0.001,,FALSE,FALSE,FALSE
sea,9,0.001,,FALSE,FALSE,FALSE
spaces,9,0.001,,FALSE,FALSE,FALSE
especially,9,0.001,,FALSE,FALSE,FALSE
lakes,9,0.001,,FALSE,FALSE,FALSE
storage,9,0.001,,FALSE,FALSE,FALSE
squirrels,9,0.001,,FALSE,FALSE,FALSE
#fridayfact,9,0.001,,FALSE,FALSE,FALSE
endreny,9,0.001,,FALSE,FALSE,FALSE
santagata,9,0.001,,FALSE,FALSE,FALSE
perna,9,0.001,,FALSE,FALSE,FALSE
stefano,9,0.001,,FALSE,FALSE,FALSE
rallo,9,0.001,,FALSE,FALSE,FALSE
f,9,0.001,,FALSE,FALSE,FALSE
ulgiati,9,0.001,,FALSE,FALSE,FALSE
implementing,9,0.001,,FALSE,FALSE,FALSE
ecol,9,0.001,,FALSE,FALSE,FALSE
360,9,0.001,,FALSE,FALSE,FALSE
328,9,0.001,,FALSE,FALSE,FALSE
335,9,0.001,,FALSE,FALSE,FALSE
depends,9,0.001,,FALSE,FALSE,FALSE
miss,9,0.001,,FALSE,TRUE,FALSE
attend,9,0.001,,FALSE,FALSE,FALSE
#permanentgrasslands,9,0.001,,FALSE,FALSE,FALSE
recorded,9,0.001,,FALSE,FALSE,FALSE
watch,9,0.001,,FALSE,FALSE,FALSE
presentations,9,0.001,,FALSE,FALSE,FALSE
invited,9,0.001,,FALSE,FALSE,FALSE
speakers,9,0.001,,FALSE,FALSE,FALSE
#agtwitter,9,0.001,,FALSE,FALSE,FALSE
#perennialgrains,9,0.001,,FALSE,FALSE,FALSE
#regenerativeagriculture,9,0.001,,FALSE,FALSE,FALSE
friends,9,0.001,,FALSE,FALSE,FALSE
narea_economics,9,0.001,,FALSE,FALSE,FALSE
conf,9,0.001,,FALSE,FALSE,FALSE
15,9,0.001,,FALSE,FALSE,FALSE
workshops,9,0.001,,FALSE,FALSE,FALSE
mystic,9,0.001,,FALSE,FALSE,FALSE
ct,9,0.001,,FALSE,FALSE,FALSE
welcoming,9,0.001,,FALSE,FALSE,FALSE
sharing,9,0.001,,FALSE,FALSE,FALSE
partnership,8,0.001,,FALSE,FALSE,FALSE
future,8,0.001,,FALSE,FALSE,FALSE
outcomes,8,0.001,,FALSE,FALSE,FALSE
please,8,0.001,,FALSE,FALSE,FALSE
framework,8,0.001,,FALSE,FALSE,FALSE
give,8,0.001,,FALSE,FALSE,FALSE
#environmentaljustice,8,0.001,,FALSE,FALSE,FALSE
worth,8,0.001,,TRUE,FALSE,FALSE
report,8,0.001,,FALSE,FALSE,FALSE
energy,8,0.001,,FALSE,FALSE,FALSE
#sdgs,8,0.001,,FALSE,FALSE,FALSE
balance,8,0.001,,FALSE,FALSE,FALSE
online,8,0.001,,FALSE,FALSE,FALSE
#nature,8,0.001,,FALSE,FALSE,FALSE
provisioning,8,0.001,,FALSE,FALSE,FALSE
review,8,0.001,,FALSE,FALSE,FALSE
air,8,0.001,,FALSE,FALSE,FALSE
importance,8,0.001,,FALSE,FALSE,FALSE
pursuing,8,0.001,,FALSE,FALSE,FALSE
road,8,0.001,,FALSE,FALSE,FALSE
rural,8,0.001,,FALSE,FALSE,FALSE
kenya,8,0.001,,FALSE,FALSE,FALSE
a05,8,0.001,,FALSE,FALSE,FALSE
crc228,8,0.001,,FALSE,FALSE,FALSE
unicologne,8,0.001,,FALSE,FALSE,FALSE
government,8,0.001,,FALSE,FALSE,FALSE
damage,8,0.001,,FALSE,TRUE,FALSE
trophic,8,0.001,,FALSE,FALSE,FALSE
#climateaction,8,0.001,,FALSE,FALSE,FALSE
sesync,8,0.001,,FALSE,FALSE,FALSE
qutdatascience,8,0.001,,FALSE,FALSE,FALSE
lauraellendee,8,0.001,,FALSE,FALSE,FALSE
jaimedash,8,0.001,,FALSE,FALSE,FALSE
yummusings,8,0.001,,FALSE,FALSE,FALSE
jagephart,8,0.001,,FALSE,FALSE,FALSE
aislynakeyes,8,0.001,,FALSE,FALSE,FALSE
saylesjs,8,0.001,,FALSE,FALSE,FALSE
towards,8,0.001,,FALSE,FALSE,FALSE
ideal,8,0.001,,TRUE,FALSE,FALSE
studies,8,0.001,,FALSE,FALSE,FALSE
relationships,8,0.001,,FALSE,FALSE,FALSE
enviroatlas,8,0.001,,FALSE,FALSE,FALSE
